,keep as it is,Same as attendeefk,,Just write the name I will convert to id,keep it as it is,,optional,optional,keep it as it is,keep it as it is,keep it as it is,"1 = done, -1 cancelled",
date_created,date_updated,created_by,candidatefk,attendeefk,type,date_meeting,location,description,date_reminder1,date_reminder2,reminder_update,meeting_done,date_met
2006/10/27 19:09,NULL,196,114425,196,1,2006/10/27 19:09,,Assessed in person,NULL,NULL,NULL,1,2006/10/27 19:09
2006/10/18 14:12,NULL,326,113275,326,1,2006/10/18 14:12,,Assessed in person,NULL,NULL,NULL,1,2006/10/18 14:12
2006/11/08 14:39,NULL,7,113259,7,1,2006/11/08 14:39,,Assessed in person,NULL,NULL,NULL,1,2006/11/08 14:39
2006/12/20 15:14,NULL,333,113221,333,1,2006/12/20 15:14,,Assessed in person,NULL,NULL,NULL,1,2006/12/20 15:14
2007/08/09 16:19,NULL,295,113202,295,1,2007/08/09 16:19,,Assessed in person,NULL,NULL,NULL,1,2007/08/09 16:19
2011/01/27 12:28,NULL,102,112429,102,1,2011/01/27 12:28,,Assessed in person,NULL,NULL,NULL,1,2011/01/27 12:28
2006/11/22 18:35,NULL,203,111703,203,1,2006/11/22 18:35,,Assessed in person,NULL,NULL,NULL,1,2006/11/22 18:35
2008/04/24 13:31,NULL,363,111029,363,1,2008/04/24 13:31,,Assessed in person,NULL,NULL,NULL,1,2008/04/24 13:31
2006/10/17 21:46,NULL,196,110720,196,1,2006/10/17 21:46,,Assessed in person,NULL,NULL,NULL,1,2006/10/17 21:46
2006/11/29 20:32,NULL,196,110529,196,1,2006/11/29 20:32,,Assessed in person,NULL,NULL,NULL,1,2006/11/29 20:32
2006/10/24 14:01,NULL,196,110084,196,1,2006/10/24 14:01,,Assessed in person,NULL,NULL,NULL,1,2006/10/24 14:01
2006/10/24 12:53,NULL,196,109773,196,1,2006/10/24 12:53,,Assessed in person,NULL,NULL,NULL,1,2006/10/24 12:53
2006/11/15 18:53,NULL,333,109684,333,1,2006/11/15 18:53,,Assessed in person,NULL,NULL,NULL,1,2006/11/15 18:53
2006/10/27 15:50,NULL,196,109468,196,1,2006/10/27 15:50,,Assessed in person,NULL,NULL,NULL,1,2006/10/27 15:50
2006/10/03 16:45,NULL,354,108675,354,1,2006/10/03 16:45,,Assessed in person,NULL,NULL,NULL,1,2006/10/03 16:45
2007/03/30 20:49,NULL,351,108621,351,1,2007/03/30 20:49,,Assessed in person,NULL,NULL,NULL,1,2007/03/30 20:49
2006/10/17 17:24,NULL,276,108620,276,1,2006/10/17 17:24,,Assessed in person,NULL,NULL,NULL,1,2006/10/17 17:24
2006/10/20 18:49,NULL,333,108585,333,1,2006/10/20 18:49,,Assessed in person,NULL,NULL,NULL,1,2006/10/20 18:49
2006/12/04 19:36,NULL,89,106780,89,1,2006/12/04 19:36,,Phone assessed,NULL,NULL,NULL,1,2006/12/04 19:36
2006/10/02 19:28,NULL,333,106643,333,1,2006/10/02 19:28,,Assessed in person,NULL,NULL,NULL,1,2006/10/02 19:28
2006/10/06 19:01,NULL,276,106174,276,1,2006/10/06 19:01,,Assessed in person,NULL,NULL,NULL,1,2006/10/06 19:01
2006/09/27 19:25,NULL,89,106114,89,1,2006/09/27 19:25,,Assessed in person,NULL,NULL,NULL,1,2006/09/27 19:25
2006/12/13 18:58,NULL,276,105965,276,1,2006/12/13 18:58,,Assessed in person,NULL,NULL,NULL,1,2006/12/13 18:58
2006/09/21 16:01,NULL,333,104854,333,1,2006/09/21 16:01,,Assessed in person,NULL,NULL,NULL,1,2006/09/21 16:01
2006/10/27 15:05,NULL,332,104521,333,1,2006/10/27 15:05,,Assessed in person,NULL,NULL,NULL,1,2006/10/27 15:05
2006/09/22 20:47,NULL,69,104469,333,1,2006/09/22 20:47,,Assessed in person,NULL,NULL,NULL,1,2006/09/22 20:47
2006/11/30 19:59,NULL,118,103367,196,1,2006/11/30 19:59,,Assessed in person,NULL,NULL,NULL,1,2006/11/30 19:59
2006/10/27 15:38,NULL,264,102323,264,1,2006/10/27 15:38,,Assessed in person,NULL,NULL,NULL,1,2006/10/27 15:38
